x,y,fix,state,left_psize,right_psize
,,,,,
195.7351,106.703,True,7,26.7921,25.9654
195.4175,106.9254,True,7,26.3869,26.0097
195.3042,107.5625,True,7,26.3066,25.6854
995.7286,232.8546,False,7,26.1003,26.0407
1251.4094,404.3878,False,7,24.9563,25.5336
0.0,0.0,False,7,26.2736,25.8096
1248.7579,395.0435,False,7,26.2813,25.9498
1249.3484,395.7468,False,7,26.4948,25.9574
1252.051,398.7247,False,7,26.4394,25.9646
1258.6046,405.8109,False,7,26.4077,25.855
1274.6578,412.7909,False,7,26.3284,25.9075
1270.2314,421.5489,False,7,26.0647,25.8635
1273.0233,425.2148,False,7,25.9172,25.8315
1273.55,427.7887,False,7,26.0037,25.7054
1273.6598,428.658,False,7,25.7354,25.9765
1274.8805,430.2636,False,7,26.1489,25.9057
1274.8778,429.9133,True,7,25.3966,25.0553
1274.73,430.2573,True,7,25.6034,25.4598
1196.8296,563.2888,False,7,25.3121,25.4722
1193.2397,566.7239,False,7,25.453,25.3093
1192.2128,571.2144,False,7,25.5024,25.5323
1191.5249,570.0739,False,7,25.706,25.319
1191.7834,575.2297,False,7,25.8198,25.4341
1190.8274,574.0877,False,7,25.4189,25.4014
1189.203,575.2587,False,7,25.6746,25.3016
1196.8988,568.2686,False,7,25.2838,25.3387
1195.6,574.5061,False,7,25.2412,25.2015
1195.3127,581.5643,False,7,25.4042,24.8746
1195.8044,578.3477,False,7,25.4886,24.8005
1196.1674,579.3191,False,7,25.3889,25.2192
1196.5765,581.7163,True,7,25.345,24.9454
1197.043,584.068,True,7,25.4434,25.3465
1197.2155,587.4212,True,7,25.6688,25.2605
1197.396,590.368,True,7,25.4901,25.4376
1197.4637,593.3658,True,7,25.3506,25.5641
1197.5852,595.9722,True,7,25.7147,25.5757
1197.6904,598.5673,True,7,25.6369,25.5956
1197.5653,598.6417,True,7,26.0385,25.5022
1197.7081,600.9316,True,7,25.7028,25.8429
1197.8395,603.1439,True,7,25.7987,25.7731
1197.9908,604.7134,True,7,25.6539,25.3784
1198.2103,606.8162,True,7,25.8543,25.7723
1198.226,607.004,True,7,25.7261,25.5969
1198.5138,608.6684,True,7,25.8167,25.6667
1198.8839,610.8166,True,7,25.9862,25.7835
1199.6097,614.1989,True,7,26.3997,25.6566
1199.8286,615.9328,True,7,25.9526,25.6461
1200.6373,618.4976,True,7,0.0,23.6252
0.0,0.0,False,4,0.0,0.0
1425.3533,1485.3065,False,7,0.0,17.7724
1389.0392,1004.1973,False,7,23.989,24.8583
1394.3893,959.7676,False,7,25.6256,25.6755
1398.8203,933.9689,False,7,25.0019,25.3973
1403.2413,917.4783,False,7,25.3507,25.1649
1409.7836,889.5275,False,7,25.1101,25.2151
1424.2087,777.9137,False,7,25.1455,25.2853
1420.4268,791.8232,False,7,25.6149,25.5446
1424.9333,793.902,False,7,25.6081,25.0634
1425.0978,792.5811,False,7,25.1582,25.0746
1416.12,789.1856,False,7,25.305,25.1269
1411.7594,790.2813,False,7,25.025,25.5724
1405.1217,789.0803,True,7,25.2834,25.5978
1401.15,790.9296,True,7,25.382,25.6723
1398.1083,793.4643,True,7,25.3529,25.5378
1395.2186,795.7553,True,7,25.3941,25.8467
1388.361,800.0242,True,7,26.1487,25.2807
1236.8416,786.4086,False,7,25.3606,25.8681
1248.0848,777.3264,False,7,25.0631,25.6669
1245.9531,777.1962,False,7,25.31,25.9667
1245.1687,785.1072,False,7,25.2984,25.92
1240.7659,776.7744,False,7,25.3211,25.3949
1241.4708,781.5161,False,7,25.3218,25.4733
1241.4298,782.9222,True,7,25.3141,25.2689
1241.3325,783.6128,True,7,25.015,25.2654
1241.2511,784.3997,True,7,25.2585,25.5125
1241.3191,784.6849,True,7,25.2119,25.1515
1008.8375,502.7324,False,7,25.0514,25.0224
998.191,500.1201,False,7,24.825,25.1944
996.9568,497.2775,False,7,24.9608,25.1998
998.0712,497.9487,False,7,24.9965,25.4838
999.6164,500.2899,False,7,25.2804,25.351
997.7432,501.0524,False,7,24.9933,25.2952
1148.3657,554.3586,False,7,24.8116,25.6371
1247.1112,645.3807,False,7,25.2084,25.5913
1264.0426,658.2517,False,7,25.0593,25.643
1275.2928,667.5487,False,7,24.8627,25.4088
1283.7648,676.3382,False,7,25.5432,25.6815
1296.2777,688.3572,False,7,25.3701,25.6821
1397.5576,675.1813,False,7,25.2888,25.6171
1431.6775,615.2017,False,7,25.2123,25.7403
1435.6841,606.9941,False,7,25.4718,25.8476
1438.9092,601.8218,False,7,25.6217,25.8947
1441.6945,598.1591,False,7,25.7334,26.0383
1445.9196,591.5331,False,7,25.6922,26.0779
1458.9604,567.996,False,7,26.0992,26.1515
1456.1907,561.311,False,7,25.9339,26.3364
1449.2919,554.588,False,7,26.0264,25.8751
1450.9469,558.3499,False,7,25.9439,26.1505
1452.2433,560.7318,False,7,25.8128,26.2911
1452.8658,561.0911,False,7,26.1031,26.1728
1458.8237,564.613,True,7,25.9009,26.2272
1462.3491,564.4125,True,7,25.8888,26.2722
1465.7529,563.7103,True,7,25.987,26.0856
1471.0197,564.886,True,7,25.8658,26.0696
1475.769,565.7225,True,7,25.8364,26.3067
1478.6715,564.5094,True,7,25.9415,26.3556
1481.3418,563.3177,True,7,26.235,26.3054
1483.6691,561.8149,True,7,26.3928,26.349
1485.9713,560.3046,True,7,26.2174,26.572
1488.0044,558.3836,True,7,26.2465,26.4199
1490.038,556.6193,True,7,26.3188,26.4519
1492.0771,555.0581,True,7,26.4267,26.3577
1494.3373,553.968,True,7,26.2922,26.3662
1496.1802,552.4303,True,7,26.301,26.2613
1498.1354,551.3204,True,7,26.3957,26.247
1499.9113,550.0168,True,7,26.4481,26.1254
1502.1565,549.1935,True,7,26.1281,26.4903
1377.8273,825.9934,False,7,26.8157,26.5573
1366.5098,836.8807,False,7,27.1687,26.5754
1361.4683,838.9518,False,7,27.1789,26.6653
1367.464,831.0222,False,7,26.6503,26.6054
1365.1825,829.6612,False,7,27.2521,26.9467
1362.3103,830.2552,False,7,27.0974,26.8089
1331.4906,860.3669,False,7,27.8356,27.2018
1349.6448,819.5593,False,7,26.7563,27.1993
1346.7117,826.4706,False,7,27.7729,27.2244
1347.2395,829.1685,False,7,27.7224,27.4351
1347.9755,830.9734,False,7,27.8361,27.5342
1349.9209,836.0098,False,7,28.1412,28.4444
1368.8085,1463.043,False,7,28.0532,28.4869
1356.6725,1477.4568,False,7,28.4291,28.891
1358.0654,1476.1887,False,7,28.4919,28.7576
1356.4198,1468.1697,False,7,28.5238,28.7163
1349.958,1449.1194,False,7,28.745,28.6649
1351.3408,1456.3352,False,7,28.3789,28.7646
1356.3909,1480.965,False,7,28.6646,28.6478
1356.7599,1487.4161,False,7,28.4104,28.6411
1356.6846,1481.2075,False,7,28.4419,28.6072
1362.4121,1521.2426,False,7,28.2593,28.7642
1359.9136,1508.5878,False,7,28.5935,28.6932
1355.9548,1483.8856,False,7,28.5032,28.6481
1356.7609,1485.9821,True,7,28.4878,28.9601
1356.7322,1486.1785,True,7,28.7229,28.8839
1359.3832,1499.2673,True,7,28.7246,28.8351
1359.1926,1497.2847,True,7,28.9659,28.1891
1352.4797,869.0118,False,7,28.902,28.7721
1352.9669,842.1068,False,7,29.1459,28.681
1350.6311,841.1527,False,7,29.4809,28.989
1349.9801,840.2531,False,7,29.6112,29.0497
1350.4958,834.9532,False,7,29.9339,29.2955
1349.786,833.3889,False,7,30.3194,29.2907
1340.7834,835.8591,False,7,30.6267,29.5874
1339.5474,828.0053,False,7,30.577,29.7085
1329.1365,848.7448,False,7,30.629,30.202
1331.2075,846.069,False,7,30.7915,30.2088
1332.8228,842.4122,False,7,31.2348,30.2022
1333.7983,840.0929,False,7,30.9993,30.3032
1333.2803,840.8424,True,7,30.9166,30.6957
1332.7838,841.8885,True,7,31.2183,30.0992
1332.2864,842.8784,True,7,31.1036,30.4935
1331.8334,843.4471,True,7,31.0433,30.6434
1331.5551,843.6478,True,7,31.2163,30.5195
1331.5912,843.1174,True,7,31.3082,30.4284
1330.6847,844.7225,True,7,31.3062,30.1095
1330.3708,845.1396,True,7,31.142,30.1882
1330.2284,845.208,True,7,31.3787,30.2033
381.7613,931.5551,False,7,31.1234,30.5657
368.9088,925.8033,False,7,30.9692,30.2881
367.6519,927.3315,False,7,30.7815,30.6639
365.8098,928.6044,False,7,31.1267,30.7276
363.6039,927.8397,False,7,30.9997,30.3636
361.2373,925.6846,False,7,30.9077,30.2248
191.0173,766.8888,False,7,31.1542,30.1612
180.1619,755.5549,False,7,30.6283,30.18
177.8977,755.3385,False,7,30.7717,29.8459
181.8803,747.8342,False,7,30.7169,30.0142
179.2674,751.231,False,7,30.8151,30.4412
175.8562,754.7969,False,7,30.5869,30.2426
175.1383,734.9345,False,7,30.3546,30.1464
158.9322,761.0798,False,7,30.2973,30.1777
164.5319,755.5952,False,7,30.1393,29.8268
164.2619,759.197,False,7,30.5171,30.0713
166.0157,799.5063,False,7,30.6255,30.42
